eventId,eventSequence,team,player_x,side,shot,placement,distanceTravelled,result,action,call,distance,type,timeUTC,time,duration,spin.type,spin.rpm,spin.rps,speed.mph,speed.kph,speed.mps,stroke,details.competition.name,details.competition.id,details.competition.year,details.court.id,details.court.name,details.match.id.smtId,details.match.singles,details.match.format,details.match.draw,details.match.round,time.startUTC,time.endUTC,file_name,set,game,point,service,sequence,forename,surname,shortName,player_y,handedness,nationality,id.smtId,id.atpId,height.metres,height.feetAndInches
00a4c638-db9f-3e44-9bd9-1833c1acbd47,1.0,1.0,1.0,Left,Serve,OutWide,"[{'team': 1, 'player': 1, 'distance': {'metres': 0.909, 'feet': 2.984}}, {'team': 2, 'player': 1, 'distance': {'metres': 1.491, 'feet': 4.892}}]",Error,Unforced,Out,0.232,Shot,2024-01-28T08:47:20.786Z,0.0,0.768,Back,-1252.94,-20.882,87.225,140.375,38.993,,Australian Open,{'atpId': '580'},2024,1,Rod Laver Arena,MS701,True,BestOfFiveTenPointFinalSetTiebreak,Men's Singles,RoundOf2,2024-01-28T08:47:20.376Z,2024-01-28T08:47:23.099Z,2024_580_MS701_1_1_1_1_1_1706431643337.tennis.events,1,1,1,1,1,Jannik,Sinner,J. Sinner,1.0,Right,ITA,ATPS0AG,S0AG,1.88,"[6, 2]"
7d6d2661-8eb0-30fe-ab84-87ecdd184f81,2.0,2.0,1.0,Right,Return,CrossCourt,"[{'team': 1, 'player': 1, 'distance': {'metres': 0.722, 'feet': 2.369}}, {'team': 2, 'player': 1, 'distance': {'metres': 1.682, 'feet': 5.518}}]",Extra,,In,-3.304,Shot,2024-01-28T08:47:21.554Z,0.768,1.221,Top,1305.172,21.753,70.933,114.156,31.71,Forehand,Australian Open,{'atpId': '580'},2024,1,Rod Laver Arena,MS701,True,BestOfFiveTenPointFinalSetTiebreak,Men's Singles,RoundOf2,2024-01-28T08:47:20.376Z,2024-01-28T08:47:23.099Z,2024_580_MS701_1_1_1_1_1_1706431643337.tennis.events,1,1,1,1,1,Daniil,Medvedev,D. Medvedev,1.0,Right,RUS,ATPMM58,MM58,1.98,"[6, 6]"
8ea58410-bdea-30fa-a073-633eeb3d0d6d,3.0,1.0,1.0,,Groundstroke,CrossOutWide,,Extra,,Out,,Shot,2024-01-28T08:47:22.775Z,1.989,0.117,Back,-2255.039,-37.584,18.195,29.283,8.134,,Australian Open,{'atpId': '580'},2024,1,Rod Laver Arena,MS701,True,BestOfFiveTenPointFinalSetTiebreak,Men's Singles,RoundOf2,2024-01-28T08:47:20.376Z,2024-01-28T08:47:23.099Z,2024_580_MS701_1_1_1_1_1_1706431643337.tennis.events,1,1,1,1,1,Jannik,Sinner,J. Sinner,1.0,Right,ITA,ATPS0AG,S0AG,1.88,"[6, 2]"
f262e3bf-985c-3bee-babe-3e21189d997f,1.0,1.0,1.0,Left,Serve,DownTheCentre,"[{'team': 1, 'player': 1, 'distance': {'metres': 1.14, 'feet': 3.739}}, {'team': 2, 'player': 1, 'distance': {'metres': 0.923, 'feet': 3.03}}]",Rally,,In,-0.693,Shot,2024-01-28T08:47:32.022Z,0.0,0.919,Top,1514.272,25.238,97.111,156.285,43.413,,Australian Open,{'atpId': '580'},2024,1,Rod Laver Arena,MS701,True,BestOfFiveTenPointFinalSetTiebreak,Men's Singles,RoundOf2,2024-01-28T08:47:31.653Z,2024-01-28T08:47:35.895Z,2024_580_MS701_1_1_1_2_2_1706431656171.tennis.events,1,1,1,2,2,Jannik,Sinner,J. Sinner,1.0,Right,ITA,ATPS0AG,S0AG,1.88,"[6, 2]"
ffc683d8-00da-3eab-babe-f0cfd23d05a0,2.0,2.0,1.0,Left,Return,CrossCourtWide,"[{'team': 1, 'player': 1, 'distance': {'metres': 3.844, 'feet': 12.61}}, {'team': 2, 'player': 1, 'distance': {'metres': 2.1, 'feet': 6.89}}]",Rally,,In,-1.113,Shot,2024-01-28T08:47:32.941Z,0.919,1.298,Top,809.435,13.491,70.634,113.674,31.576,Backhand,Australian Open,{'atpId': '580'},2024,1,Rod Laver Arena,MS701,True,BestOfFiveTenPointFinalSetTiebreak,Men's Singles,RoundOf2,2024-01-28T08:47:31.653Z,2024-01-28T08:47:35.895Z,2024_580_MS701_1_1_1_2_2_1706431656171.tennis.events,1,1,1,2,2,Daniil,Medvedev,D. Medvedev,1.0,Right,RUS,ATPMM58,MM58,1.98,"[6, 6]"
613cb503-21a7-3857-afee-de0f650d7153,3.0,1.0,1.0,,Groundstroke,CrossCourt,,Error,,Out,,Shot,2024-01-28T08:47:34.239Z,2.217,0.716,Top,837.602,13.96,45.022,72.455,20.126,,Australian Open,{'atpId': '580'},2024,1,Rod Laver Arena,MS701,True,BestOfFiveTenPointFinalSetTiebreak,Men's Singles,RoundOf2,2024-01-28T08:47:31.653Z,2024-01-28T08:47:35.895Z,2024_580_MS701_1_1_1_2_2_1706431656171.tennis.events,1,1,1,2,2,Jannik,Sinner,J. Sinner,1.0,Right,ITA,ATPS0AG,S0AG,1.88,"[6, 2]"
f262e3bf-985c-3bee-babe-3e21189d997f,1.0,1.0,1.0,Left,Serve,DownTheCentre,"[{'team': 1, 'player': 1, 'distance': {'metres': 1.14, 'feet': 3.739}}, {'team': 2, 'player': 1, 'distance': {'metres': 0.923, 'feet': 3.03}}]",Rally,,In,-0.693,Shot,2024-01-28T08:47:32.022Z,0.0,0.919,Top,1514.272,25.238,97.111,156.285,43.413,,Australian Open,{'atpId': '580'},2024,1,Rod Laver Arena,MS701,True,BestOfFiveTenPointFinalSetTiebreak,Men's Singles,RoundOf2,2024-01-28T08:47:31.653Z,2024-01-28T08:47:35.895Z,2024_580_MS701_1_1_1_2_2_1706431656683.tennis.events,1,1,1,2,2,Jannik,Sinner,J. Sinner,1.0,Right,ITA,ATPS0AG,S0AG,1.88,"[6, 2]"
ffc683d8-00da-3eab-babe-f0cfd23d05a0,2.0,2.0,1.0,Left,Return,CrossCourtWide,"[{'team': 1, 'player': 1, 'distance': {'metres': 3.844, 'feet': 12.61}}, {'team': 2, 'player': 1, 'distance': {'metres': 2.1, 'feet': 6.89}}]",Rally,,In,-1.113,Shot,2024-01-28T08:47:32.941Z,0.919,1.298,Top,809.435,13.491,70.634,113.674,31.576,Backhand,Australian Open,{'atpId': '580'},2024,1,Rod Laver Arena,MS701,True,BestOfFiveTenPointFinalSetTiebreak,Men's Singles,RoundOf2,2024-01-28T08:47:31.653Z,2024-01-28T08:47:35.895Z,2024_580_MS701_1_1_1_2_2_1706431656683.tennis.events,1,1,1,2,2,Daniil,Medvedev,D. Medvedev,1.0,Right,RUS,ATPMM58,MM58,1.98,"[6, 6]"
613cb503-21a7-3857-afee-de0f650d7153,3.0,1.0,1.0,,Groundstroke,CrossCourt,,Error,Forced,Out,,Shot,2024-01-28T08:47:34.239Z,2.217,0.716,Top,837.602,13.96,45.022,72.455,20.126,,Australian Open,{'atpId': '580'},2024,1,Rod Laver Arena,MS701,True,BestOfFiveTenPointFinalSetTiebreak,Men's Singles,RoundOf2,2024-01-28T08:47:31.653Z,2024-01-28T08:47:35.895Z,2024_580_MS701_1_1_1_2_2_1706431656683.tennis.events,1,1,1,2,2,Jannik,Sinner,J. Sinner,1.0,Right,ITA,ATPS0AG,S0AG,1.88,"[6, 2]"
a5918389-5470-3bde-a7a5-46a85a58334f,1.0,1.0,1.0,Left,Serve,DownTheTee,"[{'team': 1, 'player': 1, 'distance': {'metres': 0.804, 'feet': 2.638}}, {'team': 2, 'player': 1, 'distance': {'metres': 1.314, 'feet': 4.311}}]",Rally,,In,-0.709,Shot,2024-01-28T08:48:00.461Z,0.0,0.731,Back,-3644.408,-60.74,125.395,201.804,56.057,,Australian Open,{'atpId': '580'},2024,1,Rod Laver Arena,MS701,True,BestOfFiveTenPointFinalSetTiebreak,Men's Singles,RoundOf2,2024-01-28T08:48:00.067Z,2024-01-28T08:48:08.607Z,2024_580_MS701_1_1_2_1_1_1706431689166.tennis.events,1,1,2,1,1,Jannik,Sinner,J. Sinner,1.0,Right,ITA,ATPS0AG,S0AG,1.88,"[6, 2]"
